Accion,Default,DEFENSOR,CENTRAL,DELANTERO,GOALKEEPER
speed,40,0,0,0,0
speedRun,65,0,0,0,0
speedRunFade,20,0,0,0,0
speedWithBall,35,0,0,0,0
speedRunWithBall,55,0,0,0,0
speedDash,80,0,0,0,0
random_jump_a_dash,50,0,0,0,0
random_steal_ball,50,0,0,0,0
distance_to_dash_ai,28,0,0,0,0
dash_percent_attacking,200,0,0,0,0
dash_percent_defending,400,0,0,0,0
goalKeeperSpeed,50,0,0,0,0
freeze_by_kick,30,0,0,0,0
freeze_dash,15,0,0,0,0
freeze_by_loseBall,10,0,0,0,0
freeze_by_hit,20,0,0,0,0
freeze_by_dashBall,30,0,0,0,0
height_to_dominate_ball,11,0,0,0,0
distanceToForceCentro,7,0,0,0,0
timeToSwapCharactersAutomatically,7,0,0,0,0
defenseDelay,11,0,0,0,0
attackDelay,7,0,0,0,0
gk_FlyingDuration,50,0,0,0,0
gk_FlyingSpeed,20,0,0,0,0
gk_CatchOnAir,700,0,0,0,0
kickHard,4000,0,0,0,0
kickHardAngle,1900,0,0,0,0
kickSoft,3900,0,0,0,0
kickSoftAngle,1000,0,0,0,0
kickBaloon,2100,0,0,0,0
kickBaloonAngle,2800,0,0,0,0
kickHead,4800,0,0,0,0
kickHeadAngle,700,0,0,0,0
kickChilena,5300,0,0,0,0
kickChilenaAngle,700,0,0,0,0
kickCentro,3200,0,0,0,0
kickCentroAngle,2000,0,0,0,0
