Accion,Default,DEFENSOR,CENTRAL,DELANTERO,GOALKEEPER
speed,32,5,5,5,0
speedRun,55,10,10,10,0
speedRunFade,15,0,0,0,0
speedWithBall,20,5,5,5,0
speedRunWithBall,45,8,5,5,0
speedDash,80,10,10,10,0
random_jump_a_dash,50,10,10,10,0
random_steal_ball,50,30,20,10,0
distance_to_dash_ai,28,0,0,0,0
dash_percent_attacking,200,20,30,40,0
dash_percent_defending,400,40,30,20,0
goalKeeperSpeed,12,0,0,0,0
freeze_by_kick,30,-5,-5,-5,0
freeze_dash,15,-5,-5,-5,0
freeze_by_loseBall,10,-5,-5,-5,0
freeze_by_dashBall,30,-5,-5,-5,0
height_to_dominate_ball,7,2,2,2,0
distanceToForceCentro,7,0,0,0,0
timeToSwapCharactersAutomatically,7,0,0,0,0
defenseDelay,11,-2,-2,-2,5
attackDelay,7,-2,-2,-2,5
gk_FlyingDuration,60,,,,10
gk_FlyingSpeed,12,,,,2
gk_CatchOnAir,660,0,0,0,-200
kickHard,3950,100,100,100,100
kickHardAngle,1700,0,0,0,0
kickSoft,3900,100,100,100,100
kickSoftAngle,1100,0,0,0,0
kickBaloon,2100,100,100,100,100
kickBaloonAngle,2800,0,0,0,0
kickHead,3500,100,100,100,100
kickHeadAngle,700S,0,0,0,0
kickChilena,4200,100,100,100,100
kickChilenaAngle,450,0,0,0,0
kickCentro,2150,100,100,100,100
kickCentroAngle,2750,0,0,0,0
